8	0.1501358	0.0173708
16	0.1481591	0.0173916
24	0.1480667	0.0174758
32	0.1480853	0.0174371
40	0.1480656	0.0199319
48	0.1480461	0.0232874
56	0.1484653	0.0297284
64	0.1485375	0.036092
72	0.151359	0.0438325
80	0.1500453	0.0532835
88	0.1525294	0.0639688
96	0.1512689	0.0785138
104	0.15896	0.0923592
112	0.1564512	0.1119384
120	0.1681061	0.1343242
128	0.1682616	0.1596014
136	0.1856647	0.1871623
144	0.1852996	0.2190222
152	0.2055891	0.2545696
160	0.2047576	0.2957429
168	0.2448439	0.339811
176	0.245758	0.3899779
184	0.2944047	0.4435441
192	0.2938617	0.5000109
200	0.3504091	0.5642337
208	0.3505025	0.6317866
216	0.4211171	0.7074941
224	0.4207647	0.7857984
232	0.5005448	0.8706393
240	0.5004972	0.9628965
248	0.602401	1.0605233
256	0.6025789	1.1643452
264	0.5093259	1.2761606
272	0.5094976	1.3939133
280	0.5422608	1.5192288
288	0.5436099	1.6531708
296	0.6977728	1.7929801
304	0.6977988	1.9409423
312	0.738805	2.0971616
320	0.7389491	2.2612303
328	0.9267551	2.4341948
336	0.9267347	2.6145242
344	0.9777647	2.804215
352	0.9771404	3.0033416
360	1.2024705	3.2107053
368	1.2024057	3.4293136
376	1.2619713	3.6570603
384	1.2622957	3.8938389
392	1.5281881	4.1411893
400	1.5284479	4.3974587
408	1.596911	4.6634755
416	1.5989364	4.9414482
424	1.9076879	5.2310978
432	1.9075717	5.5320008
440	1.9899949	5.8439967
448	1.9910228	6.1675606
456	2.3478648	6.5028622
464	2.3482644	6.850213
472	2.4427411	7.2094261
480	2.4431567	7.5816167
488	2.8526156	7.9660498
496	2.8528023	8.3633887
504	2.9604688	8.7731972
512	2.9607028	9.198398
